usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
VY UMA,000-BBR-656,1038+67,10,45,4.0293,67,24,40.983,CII...,5.986,2.412,SAO 15260,10,41,48.2585,68,26,36.599,5.749,1.304,SAO 15269,10,43,4.0399,69,4,34.37,5,1.108
V524 CAR,000-BBR-795,,10,52,30.8,-57,14,25,B9Ia,5.253,0.157,HD 90853,10,27,52.7,-58,44,22,3.816,0.312,HD 97534,11,12,36.0,-60,19,3,4.602,-0.155
VY LEO,000-BCW-203,1050+06,10,56,1.4699,6,11,7.335,M5.5III,5.806,1.451,HR 4207,10,46,5.6807,6,22,23.459,6.365,1.12,HR 4201,10,45,9.4565,2,29,16.693,6.271,0.331
VW UMA,000-BBR-892,1052+70,10,59,1.7995,69,59,20.571,M...,6.91,1.7,SAO 7272,11,3,27.385,70,1,50.665,6.433,1.313,SAO 15431,11,12,10.9393,68,16,18.731,6.43,0.387
NSV 5059,000-BBR-903,1056-01,11,1,49.6745,-2,29,4.505,M0III,4.738,1.614,HR 4233,10,49,43.4887,-9,51,9.702,5.851,1.073,HR 4240,10,51,5.4085,-3,5,33.602,5.945,0.541
NSV 5079,000-BBR-972,,11,5,1.0,7,20,10,F2III/IV,4.628,0.331,HD 95382,11,0,44.8,6,6,5,4.991,0.169,HD 98664,11,21,8.2,6,1,46,4.043,0.162
V371 CAR,000-BBR-998,,11,8,34.0,-61,56,50,B9.5eIa,5.144,0.225,HD 99453,11,25,43.1,-63,58,21,5.171,0.498,HD 96566,11,6,32.4,-62,25,27,4.609,-0.273
CO UMA,000-BCX-415,1103+36,11,9,19.0801,36,18,33.764,M3III,5.785,1.498,SAO 62421,11,8,35.7551,36,0,38.992,7.325,0.945,SAO 62418,11,8,14.6284,36,27,16.726,8.25,0.553
NSV 5107,000-BBS-004,1104+43,11,9,38.5007,43,12,27.85,M2III,5.894,1.566,HR 4264,10,56,14.5185,42,0,29.358,6.035,1.127,HR 4280,11,0,14.7043,45,31,34.595,5.47,0.439
V533 CAR,000-BBS-066,,11,12,36.0,-60,19,4,B9.5eIa,4.602,0.541,HD 99453,11,25,43.1,-63,58,21,5.171,0.498,HD 96566,11,6,32.4,-62,25,27,4.609,0.043
